9 0 6 | 15 14 9
5 | 8
13 4 15 1 15 5 | 1 4 15 14 8 2
77 74 2 19 38 | 95 76 25 22 47
15 79 40 79 48 32 5 94 | 87 10 89 78 80 53 3 10
40 19 8 22 87 | 11 4 86 35 21
62 69 32 73 35 37 0 10 33 | 39 80 34 19 52 12 64 64 54
89 6 27 86 87 63 90 94 21 33 | 42 56 89 2 70 93 60 55 56 19
78 5 9 50 44 30 65 17 39 47 | 58 32 14 46 85 95 39 37 6 72
57 | 6
45 32 37 85 25 26 94 | 27 64 95 13 22 5 33
92 6 38 12 56 72 72 30 70 62 | 85 42 45 42 8 0 25 50 13 33
50 35 39 24 15 11 77 90 76 | 41 32 27 27 91 63 1 3 25
0 1 2 3 4 5 6 7 8 9 | 1 2 3 4 5 6 7 8 9 10
86 93 69 13 96 29 33 82 69 95 | 47 39 27 19 53 14 8 84 62 68
71 95 0 97 | 2 73 66 75
15 27 26 11 43 2 21 | 44 2 38 62 60 69 14
54 | 34
91 17 95 80 3 82 | 47 43 38 24 9 37
64 89 52 55 6 52 86 83 | 98 56 0 85 21 11 38 59
56 9 | 29 98
95 42 77 11 74 65 56 | 69 67 23 83 96 96 91
48 94 36 16 16 0 15 4 | 86 35 3 78 77 18 20 89
9 22 32 37 0 54 33 5 36 | 64 37 52 82 90 38 47 18 34
27 75 25 98 | 18 1 98 61
25 | 81
76 71 | 16 63
72 11 60 53 43 | 24 27 31 21 77
54 85 19 47 84 65 17 27 | 88 58 48 12 97 48 35 44
8 | 14
10 79 47 43 69 58 | 22 55 75 31 95 82
12 | 40
48 45 16 4 50 34 18 15 1 | 99 46 86 10 59 27 8 4 32
9 99 42 1 | 82 95 13 62
75 82 48 73 | 26 87 42 35
98 62 7 66 | 96 47 64 34
31 69 84 86 97 84 34 85 4 | 52 17 34 11 70 89 26 72 27
95 9 | 74 59
84 51 41 | 61 89 20
41 69 7 36 14 41 | 7 7 99 86 5 91
37 58 94 54 67 85 85 63 16 | 49 39 64 47 22 49 63 91 93
47 84 47 36 19 | 74 31 56 67 67
75 0 42 | 7 13 39
